patient_id,genes,similarities
Group_1,ENSG00000140092,0.5397905707359314
Group_1,ENSG00000158691,0.4779900312423706
Group_1,ENSG00000269964,0.42673471570014954
Group_1,ENSG00000197937,0.2884734272956848
Group_1,ENSG00000106948,0.2827022075653076
Group_1,ENSG00000113456,0.42080628871917725
Group_1,ENSG00000133619,0.4091185927391052
Group_1,ENSG00000131951,0.3589067757129669
Group_1,ENSG00000121716,0.3629983067512512
Group_1,ENSG00000172379,0.502168595790863
Group_1,ENSG00000049540,0.6134516596794128
Group_1,ENSG00000164933,0.564619779586792
Group_1,ENSG00000120071,0.5910079479217529
Group_1,ENSG00000008128,0.4217238426208496
Group_1,ENSG00000160323,0.4136604964733124
Group_1,ENSG00000115271,0.38761192560195923
Group_1,ENSG00000187720,0.4111756682395935
Group_1,ENSG00000149089,0.3866167664527893
Group_1,ENSG00000177595,0.44415849447250366
Group_1,ENSG00000183682,0.3148745000362396
Group_1,ENSG00000140830,0.40930795669555664
Group_1,ENSG00000114988,0.45807981491088867
Group_1,ENSG00000213139,0.33668825030326843
Group_1,ENSG00000124003,0.20771870017051697
Group_1,ENSG00000176108,0.46291637420654297
Group_1,ENSG00000170959,0.2551579475402832
Group_1,ENSG00000069974,0.46871262788772583
Group_1,ENSG00000082898,0.550656259059906
Group_1,ENSG00000010295,0.4917159676551819
Group_1,ENSG00000178917,0.33045488595962524
Group_1,ENSG00000155754,0.457186222076416
Group_1,ENSG00000185947,0.30343207716941833
Group_1,ENSG00000165626,0.48704683780670166
Group_1,ENSG00000178338,0.3491848111152649
Group_1,ENSG00000153786,0.3647095561027527
Group_1,ENSG00000277149,0.31050145626068115
Group_1,ENSG00000129116,0.5531501770019531
Group_1,ENSG00000114270,0.5484403371810913
Group_1,ENSG00000160999,0.45781049132347107
Group_1,ENSG00000182175,0.38458749651908875
Group_1,ENSG00000064995,0.4234310984611511
Group_1,ENSG00000204869,0.17930620908737183
Group_1,ENSG00000160613,0.3535275459289551
Group_1,ENSG00000076108,0.36406463384628296
Group_1,ENSG00000130635,0.5969983339309692
Group_1,ENSG00000143387,0.5367196798324585
Group_1,ENSG00000144791,0.4663994610309601
Group_1,ENSG00000163827,0.32633304595947266
Group_1,ENSG00000163703,0.49049240350723267
Group_1,ENSG00000130560,0.47127723693847656
Group_1,ENSG00000110925,0.39836469292640686
Group_1,ENSG00000132170,0.607029914855957
Group_1,ENSG00000153574,0.4985739588737488
